package	suite	version
libxcb-xkb1	resolute,now	1.17.0-2ubuntu1
libxcb1	resolute,now	1.17.0-2ubuntu1
libxcomposite1	resolute,now	1:0.4.6-1build1
libxcursor1	resolute,now	1:1.2.3-1build1
libxdamage1	resolute,now	1:1.1.7-1
libxdmcp6	resolute,now	1:1.1.5-2
libxext6	resolute,now	2:1.3.4-1build3
libxfixes3	resolute,now	1:6.0.0-2build2
libxft2	resolute,now	2.3.6-1build2
libxi6	resolute,now	2:1.8.2-2
libxinerama1	resolute,now	2:1.1.4-3build2
libxkbcommon-x11-0	resolute,now	1.13.1-1
libxkbcommon0	resolute,now	1.13.1-1
libxkbfile1	resolute,now	1:1.1.0-1build5
libxml-parser-perl	resolute,now	2.47-1ubuntu1
libxml-twig-perl	resolute,now	1:3.54-1build1
libxml-xpathengine-perl	resolute,now	0.14-2
libxml2-16	resolute,now	2.15.2+dfsg-0.1
libxmlb2	resolute,now	0.3.24-2
libxmu6	resolute,now	2:1.1.3-4
libxmuu1	resolute,now	2:1.1.3-4
libxpm4	resolute,now	1:3.5.17-1build3
libxrandr2	resolute,now	2:1.5.4-1build1
libxrender1	resolute,now	1:0.9.12-1build1
libxres1	resolute,now	2:1.2.1-1build2
libxshmfence1	resolute,now	1.3.3-1build1
libxss1	resolute,now	1:1.2.3-1build4
libxt6t64	resolute,now	1:1.2.1-1.3build1
libxtables12	resolute,now	1.8.11-2ubuntu3
libxtst6	resolute,now	2:1.2.5-1build1
libxv1	resolute,now	2:1.0.13-1
libxxf86dga1	resolute,now	2:1.1.5-1build2
libxxf86vm1	resolute,now	1:1.1.4-2
libxxhash0	resolute,now	0.8.3-2build1
libyaml-0-2	resolute,now	0.2.5-2build3
libzstd1	resolute,now	1.5.7+dfsg-3
linux-libc-dev	resolute-updates,resolute-security,now	7.0.0-22.22
linux-sysctl-defaults	resolute,now	4.15ubuntu5
locales	resolute,now	2.43-2ubuntu2
login.defs	resolute,now	1:4.17.4-2ubuntu3
login	resolute,now	1:4.16.0-2+really2.41.3-3ubuntu2
logrotate	resolute,now	3.22.0-1build1
logsave	resolute,now	1.47.2-3ubuntu4
lsb-release	resolute,now	12.1-2build1
lshw	resolute,now	02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3
lsof	resolute,now	4.99.4+dfsg-2build2
lto-disabled-list	resolute,now	79
luit	resolute,now	2.0.20250912-1
make	resolute,now	4.4.1-3
man-db	resolute,now	2.13.1-1build1
manpages-dev	resolute,now	6.17-1
manpages	resolute,now	6.17-1
mawk	resolute,now	1.3.4.20260129-1
media-types	resolute,now	14.0.0build1
mesa-libgallium	resolute,now	26.0.3-1ubuntu1
mesa-vulkan-drivers	resolute,now	26.0.3-1ubuntu1
