libgraphite2-3:amd64	1.3.14-11ubuntu1	amd64	ii 
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4	amd64	ii 
libgstreamer1.0-0:amd64	1.28.2-1	amd64	ii 
libgtk-3-0t64:amd64	3.24.52-0ubuntu1	amd64	ii 
libgtk-3-bin	3.24.52-0ubuntu1	amd64	ii 
libgtk-3-common	3.24.52-0ubuntu1	all	ii 
libharfbuzz0b:amd64	12.3.2-2	amd64	ii 
libheif-plugin-aomdec:amd64	1.21.2-3	amd64	ii 
libheif-plugin-aomenc:amd64	1.21.2-3	amd64	ii 
libheif1:amd64	1.21.2-3	amd64	ii 
libhogweed6t64:amd64	3.10.2-1	amd64	ii 
libhtml-form-perl	6.13-1build1	all	ii 
libhtml-format-perl	2.16-2	all	ii 
libhtml-parser-perl:amd64	3.83-1build1	amd64	ii 
libhtml-tagset-perl	3.24-1	all	ii 
libhtml-tree-perl	5.07-3	all	ii 
libhttp-cookies-perl	6.11-1	all	ii 
libhttp-daemon-perl	6.16-1	all	ii 
libhttp-date-perl	6.06-1	all	ii 
libhttp-message-perl	7.01-1ubuntu1	all	ii 
libhttp-negotiate-perl	6.01-2	all	ii 
libhwasan0:amd64	16-20260322-1ubuntu1	amd64	ii 
libhwy1t64:amd64	1.3.0-2	amd64	ii 
libibus-1.0-5:amd64	1.5.34~rc2-1	amd64	ii 
libice6:amd64	2:1.1.1-1build1	amd64	ii 
libicu78:amd64	78.2-2ubuntu1	amd64	ii 
libidn2-0:amd64	2.3.8-4build1	amd64	ii 
libio-html-perl	1.004-3	all	ii 
libio-socket-ssl-perl	2.098-1	all	ii 
libio-stringy-perl	2.113-2	all	ii 
libipc-system-simple-perl	1.30-2	all	ii 
libisl23:amd64	0.27-1build1	amd64	ii 
libitm1:amd64	16-20260322-1ubuntu1	amd64	ii 
libjansson4:amd64	2.14-2build4	amd64	ii 
libjemalloc2:amd64	5.3.0-4	amd64	ii 
libjs-events	3.3.0+~3.0.3-1	all	ii 
libjs-inherits	2.0.4-6	all	ii 
libjs-jquery	3.7.1+dfsg+~3.5.33-1build1	all	ii 
libjs-mathjax	2.7.9+dfsg-1build1	all	ii 
libjs-prettify	2015.12.04+dfsg-3	all	ii 
libjs-regenerate	1.4.2-3	all	ii 
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15	all	ii 
libjs-sphinxdoc	8.2.3-12	all	ii 
libjs-sprintf-js	1.1.3+ds1+~1.1.4-2	all	ii 
libjs-underscore	1.13.8~dfsg+~1.13.0-1	all	ii 
libjs-util	0.12.5+~1.0.10-2	all	ii 
libjson-c5:amd64	0.18+ds-3	amd64	ii 
libjsoncpp26:amd64	1.9.6-5	amd64	ii 
libjxl0.11:amd64	0.11.1-6ubuntu4	amd64	ii 
libk5crypto3:amd64	1.22.1-2ubuntu4	amd64	ii 
libkeyutils1:amd64	1.6.3-6ubuntu3	amd64	ii 
libkmod2:amd64	34.2-2ubuntu2	amd64	ii 
libkrb5-3:amd64	1.22.1-2ubuntu4	amd64	ii 
libkrb5support0:amd64	1.22.1-2ubuntu4	amd64	ii 
libksba8:amd64	1.6.7-2build1	amd64	ii 
liblcms2-2:amd64	2.17-1ubuntu0.2	amd64	ii 
libldap-common	2.6.10+dfsg-1ubuntu5	all	ii 
libldap2:amd64	2.6.10+dfsg-1ubuntu5	amd64	ii 
libllhttp9.3	9.3.3~really9.3.0+~cs12.11.8-3build1	amd64	ii 
libllvm21:amd64	1:21.1.8-6ubuntu1	amd64	ii 
liblocale-gettext-perl	1.07-8	amd64	ii 
liblsan0:amd64	16-20260322-1ubuntu1	amd64	ii 
liblsof0	4.99.4+dfsg-2build2	amd64	ii 
liblwp-mediatypes-perl	6.04-2	all	ii 
liblwp-protocol-https-perl	6.14-1	all	ii 
liblz4-1:amd64	1.10.0-8	amd64	ii 
liblzma5:amd64	5.8.3-1	amd64	ii 
liblzo2-2:amd64	2.10-3build2	amd64	ii 
libmagic-mgc	1:5.46-5build2	amd64	ii 
libmagic1t64:amd64	1:5.46-5build2	amd64	ii 
libmailtools-perl	2.22-1	all	ii 
libmd0:amd64	1.1.0-2build4	amd64	ii 
libmnl0:amd64	1.0.5-3build1	amd64	ii 
libmount1:amd64	2.41.3-3ubuntu2	amd64	ii 
libmpc3:amd64	1.3.1-3	amd64	ii 
libmpfr6:amd64	4.2.2-3	amd64	ii 
libncursesw6:amd64	6.6+20251231-1	amd64	ii 
libnet-dbus-perl	1.2.0-2build4	amd64	ii 
libnet-http-perl	6.24-1build1	all	ii 
libnet-smtp-ssl-perl	1.04-2	all	ii 
libnet-ssleay-perl:amd64	1.94-3	amd64	ii 
libnetplan1:amd64	1.2-1ubuntu5	amd64	ii 
libnettle8t64:amd64	3.10.2-1	amd64	ii 
libnewt0.52:amd64	0.52.25-1ubuntu3	amd64	ii 
libnghttp2-14:amd64	1.68.0-2ubuntu0.1	amd64	ii 
libnode-dev	22.22.1+dfsg+~cs22.19.15-1ubuntu1	amd64	ii 
libnode127:amd64	22.22.1+dfsg+~cs22.19.15-1ubuntu1	amd64	ii 
libnotify-bin	0.8.8-1	amd64	ii 
libnotify4:amd64	0.8.8-1	amd64	ii 
libnpth0t64:amd64	1.8-3build1	amd64	ii 
libnss-systemd:amd64	259.5-0ubuntu3	amd64	ii 
libp11-kit0:amd64	0.26.2-2	amd64	ii 
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1	amd64	ii 
libpam-cap:amd64	1:2.75-10ubuntu2	amd64	ii 
libpam-modules:amd64	1.7.0-5ubuntu3	amd64	ii 
libpam-modules-bin	1.7.0-5ubuntu3	amd64	ii 
libpam-runtime	1.7.0-5ubuntu3	all	ii 
libpam-systemd:amd64	259.5-0ubuntu3	amd64	ii 
libpam0g:amd64	1.7.0-5ubuntu3	amd64	ii 
libpango-1.0-0:amd64	1.57.0-1	amd64	ii 
libpangocairo-1.0-0:amd64	1.57.0-1	amd64	ii 
libpangoft2-1.0-0:amd64	1.57.0-1	amd64	ii 
libpciaccess0:amd64	0.18.1-1ubuntu4	amd64	ii 
libpcre2-8-0:amd64	10.46-1build1	amd64	ii 
libperl5.40:amd64	5.40.1-7build1	amd64	ii 
libpipeline1:amd64	1.5.8-2	amd64	ii 
libpixman-1-0:amd64	0.46.4-1	amd64	ii 
libpng16-16t64:amd64	1.6.57-1	amd64	ii 
libpolkit-agent-1-0:amd64	127-2ubuntu1	amd64	ii 
libpolkit-gobject-1-0:amd64	127-2ubuntu1	amd64	ii 
libpopt0:amd64	1.19+dfsg-2build1	amd64	ii 
libproc2-0:amd64	2:4.0.4-9ubuntu1	amd64	ii 
libpsl5t64:amd64	0.21.2-1.1build2	amd64	ii 
libpython3-dev:amd64	3.14.3-0ubuntu2	amd64	ii 
libpython3-stdlib:amd64	3.14.3-0ubuntu2	amd64	ii 
libpython3.14:amd64	3.14.4-1	amd64	ii 
libpython3.14-dev:amd64	3.14.4-1	amd64	ii 
libpython3.14-minimal:amd64	3.14.4-1	amd64	ii 
libpython3.14-stdlib:amd64	3.14.4-1	amd64	ii 
libpython3.14-testsuite	3.14.4-1	all	ii 
libquadmath0:amd64	16-20260322-1ubuntu1	amd64	ii 
libre2-11:amd64	20250805-1build3	amd64	ii 
libreadline8t64:amd64	8.3-4	amd64	ii 
librhash1:amd64	1.4.6-1.1	amd64	ii 
librsvg2-2:amd64	2.61.3+dfsg-3	amd64	ii 
librsvg2-common:amd64	2.61.3+dfsg-3	amd64	ii 
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3	amd64	ii 
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3	amd64	ii 
libsasl2-modules:amd64	2.1.28+dfsg1-9ubuntu3	amd64	ii 
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3	amd64	ii 
libseccomp2:amd64	2.6.0-2ubuntu5	amd64	ii 
libselinux1:amd64	3.9-4build1	amd64	ii 
libsemanage-common	3.9-1build1	all	ii 
libsemanage2:amd64	3.9-1build1	amd64	ii 
libsensors-config	1:3.6.2-2build1	all	ii 
